Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
2230,01/06/2021,2,7,11,23,27,32,0,,"R$0,00",23,"R$3.322,44",1067,"R$81,84",18550,"R$2,35",9,10,20,33,46,49,0,"R$0,00",14,"R$4.912,46",908,"R$96,18",17182,"R$2,54",Sim,"R$2.518.242,50","R$4.000.000,00","R$1.443.411,27",
2231,05/06/2021,2,5,10,23,29,36,0,,"R$0,00",35,"R$3.105,90",1497,"R$82,98",26289,"R$2,36",3,5,39,43,44,50,0,"R$0,00",26,"R$3.762,91",1169,"R$106,27",25285,"R$2,45",Sim,"R$3.582.347,50","R$4.500.000,00","R$1.617.341,42",
2232,08/06/2021,11,19,20,23,44,46,0,CONTAGEM/MG,"R$0,00",17,"R$4.456,10",826,"R$104,81",16636,"R$2,60",12,13,23,32,46,48,1,"R$83.329,00",24,"R$2.840,77",835,"R$103,68",16910,"R$2,55",Sim,"R$2.496.412,50","R$4.600.000,00","R$1.738.547,26",
2233,10/06/2021,1,7,15,28,38,49,0,,"R$0,00",11,"R$6.755,38",765,"R$111,01",15322,"R$2,77",7,16,22,23,31,36,0,"R$0,00",13,"R$5.144,48",661,"R$128,47",14863,"R$2,85",Sim,"R$2.448.810,00","R$4.900.000,00","R$1.857.441,91",
2234,12/06/2021,1,9,24,35,36,38,0,,"R$0,00",14,"R$5.446,84",756,"R$115,27",15233,"R$2,86",7,12,16,19,32,48,0,"R$0,00",15,"R$4.575,35",945,"R$92,22",18060,"R$2,41",Sim,"R$2.512.962,50","R$5.200.000,00","R$1.979.451,30",
2235,15/06/2021,8,15,20,26,33,41,0,,"R$0,00",10,"R$9.457,06",956,"R$113,05",19226,"R$2,81",1,14,19,27,29,36,0,"R$0,00",18,"R$4.728,53",979,"R$110,39",20186,"R$2,67",Sim,"R$3.116.512,50","R$5.700.000,00","R$2.130.764,24",
2236,17/06/2021,4,11,15,26,31,39,0,,"R$0,00",23,"R$4.797,55",1147,"R$109,94",22251,"R$2,83",27,28,31,35,43,47,0,"R$0,00",23,"R$4.317,79",1254,"R$100,56",23813,"R$2,64",Sim,"R$3.636.302,50","R$6.200.000,00","R$2.307.314,02",
2237,19/06/2021,6,9,19,36,47,50,0,,"R$0,00",25,"R$4.398,35",1469,"R$85,54",26345,"R$2,38",5,8,18,36,38,43,0,"R$0,00",13,"R$7.612,53",1303,"R$96,44",25159,"R$2,49",Sim,"R$3.623.617,50","R$6.600.000,00","R$2.483.247,93",
2238,22/06/2021,4,19,20,22,41,50,0,,"R$0,00",29,"R$4.047,21",1350,"R$99,35",25283,"R$2,65",18,27,33,46,47,49,0,"R$0,00",35,"R$3.018,06",1613,"R$83,15",27868,"R$2,40",Sim,"R$3.867.817,50","R$7.000.000,00","R$2.671.038,23",
2239,24/06/2021,7,10,17,24,35,37,0,,"R$0,00",25,"R$4.807,40",1604,"R$85,63",29463,"R$2,33",2,7,23,24,36,37,0,"R$0,00",37,"R$2.923,42",1610,"R$85,31",27695,"R$2,47",Sim,"R$3.960.620,00","R$7.600.000,00","R$2.863.334,28",
2240,26/06/2021,2,9,10,26,27,50,0,,"R$0,00",38,"R$2.973,17",1589,"R$81,25",26945,"R$2,39",15,19,31,33,34,44,0,"R$0,00",23,"R$4.420,98",1351,"R$95,57",24407,"R$2,64",Sim,"R$3.723.200,00","R$8.000.000,00","R$3.044.103,11",
